Date,Activity,Activity type,Unit,Amount planned
2025-05-14,Iron mining,Railway,m3,1482.1862528940749
2025-04-24,Coat preparation,Road,L,1382.9970524732082
2025-04-09,Coat preparation,Road,L,4526.743858253395
2025-02-21,Coat preparation,Road,L,4896.780301815039
2025-02-27,Removing trees,Building,m2,4890.846453767824
2025-03-31,Anchorage,Railway,m2,3073.9341018665677
2025-11-12,Foundation pouring,Building,m3,1741.0655853709338
2025-01-04,Pavement,Road,m2,4792.376750447742
2025-01-24,Rolling/Tractor,Road,m2,144.96685393084186
2025-09-04,Pavement,Road,m2,1163.93416372214
2025-04-06,Anchorage,Railway,m2,4664.920040211475
2025-02-11,Cement making,Building,m3,3984.187471077871
2025-06-24,Foundation pouring,Building,m3,1037.752305335193
2025-11-14,Removing trees,Building,m2,655.3007268152883
2025-04-15,Coat preparation,Road,L,2588.851701187325
2025-11-19,Ballast,Railway,m3,4712.974568091719
2025-07-20,Foundation pouring,Building,m3,2763.001110312173
2025-08-19,Rolling/Tractor,Road,m2,179.49404163967066
2025-10-09,Rolling/Tractor,Road,m2,932.5224652960562
2025-01-22,Foundation pouring,Building,m3,1618.3464528704321
2025-01-03,Walling,Building,m2,4357.816909276242
2025-03-12,Subbase application,Road,m2,2740.8630470891853
2025-01-03,Pavement,Road,m2,514.59837278016
2025-01-07,Coat preparation,Road,L,4892.457041843152
2025-09-24,Removing trees,Building,m2,4701.366702307143
2025-07-14,Cement making,Building,m3,1577.8179891974569
2025-07-22,Coat preparation,Road,L,932.1960991721329
2025-10-09,Walling,Building,m2,145.30551825740977
2025-03-16,Foundation pouring,Building,m3,3182.813552675758
2025-03-25,Pavement,Road,m2,1787.0424007032127
2025-11-15,Foundation pouring,Building,m3,4468.192307455153
2025-01-02,Laying steel rail,Railway,m,3491.0085963995575
2025-03-04,Anchorage,Railway,m2,1410.342934533919
2025-05-30,Laying steel rail,Railway,m,1544.8212379866422
2025-09-02,Pavement,Road,m2,4625.365171654081
2025-06-19,Walling,Building,m2,1599.763233649551
2025-02-20,Pavement,Road,m2,3685.7382151995826
2025-12-17,Coat preparation,Road,L,2291.785785346795
2025-07-12,Cement making,Building,m3,4660.750945158329
2025-04-04,Walling,Building,m2,2539.3234723985092
2025-06-09,Ballast,Railway,m3,1415.2514513635729
2025-12-18,Removing trees,Building,m2,123.35705856888035
2025-12-07,Anchorage,Railway,m2,1361.7613641242183
2025-07-04,Rolling/Tractor,Road,m2,4152.66469075754
2025-09-26,Foundation pouring,Building,m3,167.55553623352958
2025-04-19,Rolling/Tractor,Road,m2,847.8905104103135
2025-03-14,Subbase application,Road,m2,2767.5223325952375
2025-11-07,Cement making,Building,m3,2485.1093742170783
2025-01-02,Ballast,Railway,m3,2723.3495573650325
2025-10-01,Cement making,Building,m3,3738.0069451584823
2025-05-04,Removing trees,Building,m2,594.5605825029365
2025-07-23,Iron mining,Railway,m3,3384.5429741632765
2025-12-05,Rolling/Tractor,Road,m2,2188.732635614901
2025-04-26,Iron mining,Railway,m3,3907.815559557214
2025-05-27,Rolling/Tractor,Road,m2,3775.375164370555
2025-04-06,Coat preparation,Road,L,852.4459135972967
2025-01-22,Walling,Building,m2,1065.7463465275007
2025-02-05,Subbase application,Road,m2,499.71766743354465
2025-01-29,Iron mining,Railway,m3,3761.5964752536656
2025-06-05,Laying steel rail,Railway,m,1021.3236092250089
2025-07-13,Walling,Building,m2,88.52884033779706
2025-02-23,Rolling/Tractor,Road,m2,2459.1991248482996
2025-10-24,Cement making,Building,m3,80.3523008452145
2025-01-03,Foundation pouring,Building,m3,775.7148560692395
2025-10-21,Foundation pouring,Building,m3,4642.308658873466
2025-09-26,Cement making,Building,m3,614.5036167145773
2025-02-15,Subbase application,Road,m2,1063.1185020033902
2025-05-20,Pavement,Road,m2,19.31124177528776
2025-02-27,Rolling/Tractor,Road,m2,1685.010505826942
2025-11-03,Iron mining,Railway,m3,4060.2992588538473
2025-10-24,Subbase application,Road,m2,4690.752075832082
2025-08-10,Subbase application,Road,m2,1419.8230700716836
2025-02-15,Coat preparation,Road,L,1287.5274779805645
2025-03-12,Ballast,Railway,m3,470.4316257769037
2025-06-23,Laying steel rail,Railway,m,3116.564612160039
2025-11-04,Foundation pouring,Building,m3,1136.0770746391636
2025-08-16,Laying steel rail,Railway,m,4198.760809553457
2025-02-11,Anchorage,Railway,m2,3934.5793781872007
2025-07-09,Laying steel rail,Railway,m,1641.2091764583008
2025-05-03,Iron mining,Railway,m3,3548.4344034309656
2025-08-05,Foundation pouring,Building,m3,225.31160176092357
2025-04-17,Foundation pouring,Building,m3,227.10993053791262
2025-06-23,Laying steel rail,Railway,m,3718.817791970674
2025-08-21,Terrain leveling,Building,m3,2373.966498696118
2025-07-09,Terrain leveling,Building,m3,1693.2502410673183
2025-10-29,Rolling/Tractor,Road,m2,3073.6535159858067
2025-04-28,Foundation pouring,Building,m3,2973.242500306281
2025-07-25,Subbase application,Road,m2,4751.931722374137
2025-05-17,Laying steel rail,Railway,m,1830.6790882575146
2025-06-30,Ballast,Railway,m3,981.8963294699635
2025-11-09,Foundation pouring,Building,m3,1196.4124043295692
2025-04-01,Laying steel rail,Railway,m,3932.943841638301
2025-12-04,Walling,Building,m2,4574.840236670259
2025-07-31,Subbase application,Road,m2,2547.813764578508
2025-03-08,Iron mining,Railway,m3,2887.7392017111265
2025-10-30,Removing trees,Building,m2,96.82582202476864
2025-05-07,Foundation pouring,Building,m3,66.3137930938873
2025-10-29,Subbase application,Road,m2,3837.0482148083997
2025-06-18,Terrain leveling,Building,m3,2074.162373747834
2025-09-23,Cement making,Building,m3,2559.4960190814795
2025-07-15,Ballast,Railway,m3,3945.385571045125
2025-10-19,Rolling/Tractor,Road,m2,4473.356258728275
2025-04-06,Cement making,Building,m3,924.8431891432768
2025-11-15,Anchorage,Railway,m2,208.33173575234065
2025-07-09,Terrain leveling,Building,m3,3511.9569415432848
2025-08-08,Removing trees,Building,m2,4442.030239210633
2025-09-08,Laying steel rail,Railway,m,2042.6782211278537
2025-04-13,Rolling/Tractor,Road,m2,428.31063282383565
2025-07-27,Foundation pouring,Building,m3,4850.406501202219
2025-02-26,Pavement,Road,m2,1335.9254212272685
2025-08-08,Cement making,Building,m3,2276.717844347674
2025-03-23,Coat preparation,Road,L,47.82911507069054
2025-09-05,Anchorage,Railway,m2,2154.601461635429
2025-03-30,Iron mining,Railway,m3,2835.1991254390064
2025-03-09,Removing trees,Building,m2,455.2413127168131
2025-07-18,Ballast,Railway,m3,4943.449071563233
2025-04-04,Removing trees,Building,m2,3715.798249462546
2025-03-27,Iron mining,Railway,m3,1619.0951681663153
2025-12-10,Anchorage,Railway,m2,4588.649772305023
2025-02-20,Walling,Building,m2,2896.927766249975
2025-09-09,Walling,Building,m2,3357.458462473432
2025-11-22,Foundation pouring,Building,m3,4659.0856668072265
2025-05-08,Coat preparation,Road,L,834.506164931576
2025-03-19,Walling,Building,m2,2095.733474376461
2025-11-01,Ballast,Railway,m3,1516.046399399743
2025-10-12,Removing trees,Building,m2,937.4051937808442
2025-11-27,Coat preparation,Road,L,1853.9651780787108
2025-12-26,Cement making,Building,m3,309.8554251195545
2025-12-25,Anchorage,Railway,m2,1675.6642919842845
2025-08-27,Walling,Building,m2,1073.4912280418096
2025-08-04,Subbase application,Road,m2,1119.4965989788802
2025-06-22,Terrain leveling,Building,m3,2263.064871268498
2025-04-14,Rolling/Tractor,Road,m2,466.9179893819092
2025-12-09,Subbase application,Road,m2,4123.072038023757
2025-02-09,Terrain leveling,Building,m3,2258.224971807784
2025-04-28,Laying steel rail,Railway,m,45.88680731661465
2025-02-16,Rolling/Tractor,Road,m2,3436.6977445398957
2025-07-11,Coat preparation,Road,L,940.6171924234991
2025-06-22,Terrain leveling,Building,m3,3633.367145756672
2025-05-18,Removing trees,Building,m2,3590.3935590165943
2025-03-17,Subbase application,Road,m2,3285.5961698299825
2025-04-17,Iron mining,Railway,m3,4965.593541055018
2025-12-10,Rolling/Tractor,Road,m2,3078.1684470231235
2025-03-30,Pavement,Road,m2,243.53343689659636
2025-07-06,Iron mining,Railway,m3,3253.4743998089066
2025-07-05,Anchorage,Railway,m2,106.44835289749244
2025-03-06,Iron mining,Railway,m3,1002.3967988121402
2025-03-04,Anchorage,Railway,m2,4336.0576482598
2025-09-04,Anchorage,Railway,m2,311.2275755344895
2025-08-24,Rolling/Tractor,Road,m2,1553.46366833651
2025-02-18,Walling,Building,m2,1990.874576526535
2025-11-13,Coat preparation,Road,L,4348.212135720273
2025-07-19,Walling,Building,m2,888.088743610449
2025-06-09,Ballast,Railway,m3,3852.6059735555236
2025-11-21,Removing trees,Building,m2,506.684839461643
2025-02-19,Foundation pouring,Building,m3,1821.2110263232585
2025-12-05,Ballast,Railway,m3,1028.8506889292698
2025-11-13,Removing trees,Building,m2,1417.2199240535454
2025-03-15,Removing trees,Building,m2,398.60954166410556
2025-12-13,Cement making,Building,m3,2555.111266751624
2025-11-30,Coat preparation,Road,L,3134.1717599352237
2025-05-31,Laying steel rail,Railway,m,4842.892077972176
2025-02-01,Iron mining,Railway,m3,593.0165396532344
2025-07-21,Laying steel rail,Railway,m,1869.057975579481
2025-02-20,Subbase application,Road,m2,2789.6749789633514
2025-03-21,Subbase application,Road,m2,1923.0382876419078
2025-07-17,Rolling/Tractor,Road,m2,624.8283098877505
2025-12-07,Foundation pouring,Building,m3,1778.9736940154983
2025-09-28,Terrain leveling,Building,m3,1635.8330430302449
2025-12-17,Anchorage,Railway,m2,138.74139860363454
2025-10-01,Terrain leveling,Building,m3,4530.368876458929
2025-10-10,Ballast,Railway,m3,3870.6138664436953
2025-09-27,Anchorage,Railway,m2,770.6780111353851
2025-12-06,Walling,Building,m2,2616.097481359877
2025-10-01,Terrain leveling,Building,m3,86.80032929950676
2025-01-19,Ballast,Railway,m3,2412.5146955324776
2025-10-06,Pavement,Road,m2,3811.15590102358
2025-04-30,Walling,Building,m2,2107.8012398796436
2025-02-05,Foundation pouring,Building,m3,2438.522908937412
2025-07-13,Anchorage,Railway,m2,2863.7100961280494
2025-01-21,Laying steel rail,Railway,m,4466.491393666009
2025-02-04,Subbase application,Road,m2,2462.929329076359
2025-04-12,Walling,Building,m2,1800.3275648544354
2025-03-22,Ballast,Railway,m3,1385.1944252792798
2025-11-09,Anchorage,Railway,m2,298.21476075576504
2025-06-11,Foundation pouring,Building,m3,4299.857738106547
2025-04-06,Walling,Building,m2,4170.254255105941
2025-12-14,Rolling/Tractor,Road,m2,1261.9632510453011
2025-02-06,Anchorage,Railway,m2,2256.541153497712
2025-12-18,Cement making,Building,m3,1191.9746672816962
2025-09-19,Foundation pouring,Building,m3,1822.0229705128322
2025-11-15,Pavement,Road,m2,2284.0621546637103
2025-06-26,Terrain leveling,Building,m3,3591.583159029699
2025-07-14,Rolling/Tractor,Road,m2,4614.326721902511
2025-01-09,Ballast,Railway,m3,1777.5677609685963
2025-12-25,Removing trees,Building,m2,4120.4255091467985
2025-11-15,Rolling/Tractor,Road,m2,1840.4156050188546
2025-05-14,Walling,Building,m2,181.56443696580038
2025-03-19,Cement making,Building,m3,484.6195219156596
2025-12-04,Terrain leveling,Building,m3,4548.393044402519
2025-11-28,Foundation pouring,Building,m3,3787.3012946695694
2025-06-02,Terrain leveling,Building,m3,4333.52814057054
2025-08-06,Anchorage,Railway,m2,1542.446868017057
2025-02-03,Terrain leveling,Building,m3,3074.636222832465
2025-07-22,Walling,Building,m2,584.4249268440016
2025-10-02,Anchorage,Railway,m2,4594.542474390847
2025-10-01,Terrain leveling,Building,m3,530.7771215629336
2025-07-09,Removing trees,Building,m2,4999.834938061482
2025-04-18,Walling,Building,m2,3604.271463853534
2025-11-24,Rolling/Tractor,Road,m2,2845.9635679820058
2025-12-23,Laying steel rail,Railway,m,1802.586043578146
2025-06-25,Iron mining,Railway,m3,339.79315158081556
2025-04-22,Cement making,Building,m3,1072.3247272362546
2025-01-26,Coat preparation,Road,L,4708.7514547954215
2025-06-16,Pavement,Road,m2,1500.857016781248
2025-05-04,Coat preparation,Road,L,1219.7832086841404
2025-12-23,Iron mining,Railway,m3,1100.0509119042263
2025-11-12,Cement making,Building,m3,4133.814147501453
2025-06-10,Coat preparation,Road,L,4052.574582503029
2025-04-08,Laying steel rail,Railway,m,406.7625026257543
2025-09-05,Coat preparation,Road,L,3403.1702349424454
2025-07-23,Laying steel rail,Railway,m,642.5985443102667
2025-01-11,Walling,Building,m2,980.1327933465998
2025-07-06,Laying steel rail,Railway,m,2535.7049868175413
2025-07-26,Laying steel rail,Railway,m,4749.010088725703
2025-12-18,Rolling/Tractor,Road,m2,2348.878895307341
2025-01-31,Removing trees,Building,m2,1051.0009268832894
2025-03-21,Rolling/Tractor,Road,m2,3321.6451684939975
2025-11-04,Coat preparation,Road,L,2029.2709000823734
2025-02-05,Subbase application,Road,m2,924.9203887302615
2025-12-13,Ballast,Railway,m3,4560.9050891042025
2025-06-26,Foundation pouring,Building,m3,628.1283799227
2025-08-19,Anchorage,Railway,m2,1800.8256548063932
2025-12-25,Coat preparation,Road,L,51.17165896207476
2025-08-29,Removing trees,Building,m2,1913.9459985532737
2025-02-05,Removing trees,Building,m2,4685.6196235814705
2025-01-25,Walling,Building,m2,1177.2136437377717
2025-09-14,Coat preparation,Road,L,1608.3670119079302
2025-04-06,Subbase application,Road,m2,2624.9906178204815
2025-05-07,Subbase application,Road,m2,3020.0178252136184
2025-03-01,Ballast,Railway,m3,2087.2764857469615
2025-04-21,Laying steel rail,Railway,m,3934.3955682517717
2025-12-26,Subbase application,Road,m2,425.33480282263724
2025-09-15,Laying steel rail,Railway,m,3761.779501881878
2025-03-01,Rolling/Tractor,Road,m2,4144.924354617673
2025-05-05,Iron mining,Railway,m3,3875.5212349279773
2025-10-12,Terrain leveling,Building,m3,3302.05350442569
2025-06-15,Ballast,Railway,m3,3960.2533838338686
2025-01-16,Foundation pouring,Building,m3,695.3114634391194
2025-01-10,Laying steel rail,Railway,m,4112.513312402033
2025-08-26,Anchorage,Railway,m2,4044.614164899132
2025-02-11,Anchorage,Railway,m2,2325.683375066454
2025-12-09,Rolling/Tractor,Road,m2,3017.734269571038
2025-02-12,Removing trees,Building,m2,4336.975014220375
2025-04-07,Iron mining,Railway,m3,2209.2470259378565
2025-06-06,Foundation pouring,Building,m3,3462.9323244468364
2025-03-20,Ballast,Railway,m3,4174.358903729128
2025-09-11,Removing trees,Building,m2,4291.633012012751
2025-11-21,Cement making,Building,m3,2342.226565250727
2025-09-19,Foundation pouring,Building,m3,3146.3386645829137
2025-10-11,Coat preparation,Road,L,1596.423034244584
2025-06-30,Cement making,Building,m3,3470.578825483776
2025-10-22,Pavement,Road,m2,827.6358826419605
2025-10-15,Walling,Building,m2,1514.2125550350777
2025-04-24,Terrain leveling,Building,m3,1195.8438382417091
2025-09-06,Removing trees,Building,m2,1401.4270139898306
2025-10-24,Anchorage,Railway,m2,4843.347153056144
2025-02-13,Laying steel rail,Railway,m,3234.3342639932744
2025-10-30,Laying steel rail,Railway,m,580.2051179095846
2025-03-29,Pavement,Road,m2,3901.0851563006518
2025-06-25,Terrain leveling,Building,m3,1620.866386009896
2025-10-30,Subbase application,Road,m2,708.4162882377915
2025-11-17,Laying steel rail,Railway,m,4832.8855706484155
2025-08-15,Rolling/Tractor,Road,m2,4510.303713092968
2025-05-12,Rolling/Tractor,Road,m2,4510.355058832875
2025-12-06,Foundation pouring,Building,m3,3243.8445130237137
2025-08-09,Cement making,Building,m3,297.6281377530171
2025-01-03,Walling,Building,m2,1469.403165638486
2025-01-14,Removing trees,Building,m2,4251.554576176414
2025-07-06,Coat preparation,Road,L,1825.1129402283111
2025-07-10,Removing trees,Building,m2,4878.140123181359
2025-07-15,Walling,Building,m2,4098.550436182553
2025-08-25,Removing trees,Building,m2,4344.504781540186
2025-01-12,Pavement,Road,m2,665.2206269151723
2025-10-27,Laying steel rail,Railway,m,2528.3532311768035
2025-12-11,Coat preparation,Road,L,3290.6843437726434
2025-02-03,Walling,Building,m2,3500.859543697886
2025-06-11,Subbase application,Road,m2,3108.899015161271
2025-07-17,Walling,Building,m2,4867.7601054350425
2025-07-08,Anchorage,Railway,m2,4013.6660399216075
2025-08-11,Foundation pouring,Building,m3,837.2693300396927
2025-11-04,Rolling/Tractor,Road,m2,694.8895775917501
2025-10-24,Anchorage,Railway,m2,4208.785621618599
2025-09-25,Ballast,Railway,m3,3250.456864124594
2025-04-09,Coat preparation,Road,L,746.712378191014
2025-04-07,Rolling/Tractor,Road,m2,263.595428054566
2025-12-16,Walling,Building,m2,4729.437850603005
2025-01-15,Laying steel rail,Railway,m,4682.102412855797
2025-01-23,Pavement,Road,m2,4251.821602016182
2025-09-17,Iron mining,Railway,m3,4919.278430133646
2025-11-28,Laying steel rail,Railway,m,2064.523542034004
2025-10-22,Anchorage,Railway,m2,1638.0287958272204
2025-01-30,Anchorage,Railway,m2,2106.1679068196336
2025-12-21,Subbase application,Road,m2,422.5792358247937
2025-12-13,Cement making,Building,m3,1222.5026748113837
2025-05-12,Foundation pouring,Building,m3,2401.633346362954
2025-08-21,Rolling/Tractor,Road,m2,1965.124376389663
2025-05-30,Coat preparation,Road,L,4199.484242830412
2025-07-10,Walling,Building,m2,3462.594965405256
2025-10-13,Pavement,Road,m2,1866.3776822463974
2025-07-16,Anchorage,Railway,m2,2597.3496824796225
2025-01-17,Coat preparation,Road,L,4606.970341100013
2025-01-30,Subbase application,Road,m2,4588.039483053514
2025-07-18,Cement making,Building,m3,788.5697791306068
2025-03-25,Walling,Building,m2,2351.096110126472
2025-04-26,Removing trees,Building,m2,3393.4060814380528
2025-11-27,Subbase application,Road,m2,26.450716198231362
2025-05-02,Anchorage,Railway,m2,3477.7456484421778
2025-11-15,Cement making,Building,m3,1926.454751350708
2025-04-27,Laying steel rail,Railway,m,4433.389952263988
2025-11-13,Cement making,Building,m3,1076.998273536075
2025-01-19,Coat preparation,Road,L,1704.0396188826328
2025-10-11,Removing trees,Building,m2,2935.32332526235
2025-12-02,Coat preparation,Road,L,1802.0604107557292
2025-10-25,Coat preparation,Road,L,1806.6828533392393
2025-12-24,Iron mining,Railway,m3,1884.1586976387625
2025-10-09,Subbase application,Road,m2,3755.2889949413316
2025-01-31,Laying steel rail,Railway,m,83.01095457382279
2025-08-24,Removing trees,Building,m2,2274.2633658157097
2025-12-02,Cement making,Building,m3,4233.551332278063
2025-09-07,Rolling/Tractor,Road,m2,2801.7859947343486
2025-07-27,Rolling/Tractor,Road,m2,4476.7965259043085
2025-06-22,Pavement,Road,m2,1050.4364143457224
2025-08-09,Walling,Building,m2,1542.0898439743446
2025-12-23,Foundation pouring,Building,m3,1554.8014016875977
2025-10-14,Pavement,Road,m2,2793.6190992206252
2025-08-13,Iron mining,Railway,m3,3386.6505261792436
2025-01-30,Removing trees,Building,m2,1544.0605870373174
2025-02-18,Cement making,Building,m3,482.0666010757907
2025-08-21,Pavement,Road,m2,774.1317590534968
2025-08-18,Laying steel rail,Railway,m,862.4842679991046
2025-07-30,Terrain leveling,Building,m3,510.4832887367694
2025-04-13,Laying steel rail,Railway,m,400.08459871248624
2025-04-22,Walling,Building,m2,1386.4019241725339
2025-08-15,Terrain leveling,Building,m3,3912.8008528993146
2025-03-05,Laying steel rail,Railway,m,1692.757162815069
2025-01-06,Anchorage,Railway,m2,4807.510356905307
2025-08-05,Ballast,Railway,m3,2794.9254709126876
2025-09-01,Anchorage,Railway,m2,300.9330534351889
2025-11-15,Foundation pouring,Building,m3,591.3589520799834
2025-02-16,Rolling/Tractor,Road,m2,312.3117496927963
2025-09-14,Ballast,Railway,m3,3589.1868096142716
2025-02-12,Removing trees,Building,m2,362.9416437282085
2025-01-09,Terrain leveling,Building,m3,4711.792271691759
2025-05-28,Foundation pouring,Building,m3,2454.806180930006
2025-08-14,Coat preparation,Road,L,2594.6095138225955
2025-11-28,Pavement,Road,m2,3700.5293197410074
2025-07-30,Terrain leveling,Building,m3,3502.217584912358
2025-06-15,Pavement,Road,m2,3003.079049338061
2025-12-04,Walling,Building,m2,4167.844597534797
2025-03-17,Cement making,Building,m3,1946.4798672591505
2025-08-21,Laying steel rail,Railway,m,4543.164957666184
2025-09-02,Pavement,Road,m2,2165.4569242221687
2025-09-06,Removing trees,Building,m2,3301.1953306027967
2025-08-28,Foundation pouring,Building,m3,3266.534104703831
2025-07-21,Iron mining,Railway,m3,4779.462308431877
2025-06-13,Cement making,Building,m3,126.62053041472166
2025-11-10,Foundation pouring,Building,m3,3127.578725414008
2025-11-13,Anchorage,Railway,m2,1395.3999878868751
2025-04-21,Pavement,Road,m2,647.9846240302478
2025-08-21,Subbase application,Road,m2,1869.6069876263105
2025-05-04,Removing trees,Building,m2,527.7750407161286
2025-08-27,Removing trees,Building,m2,232.13599812382913
2025-04-14,Terrain leveling,Building,m3,3362.058407874111
2025-04-16,Coat preparation,Road,L,2395.366015694631
2025-08-28,Subbase application,Road,m2,3495.818724998776
2025-08-22,Rolling/Tractor,Road,m2,4341.434112929612
2025-03-27,Subbase application,Road,m2,364.3319715398652
2025-07-01,Removing trees,Building,m2,1194.6970544018031
2025-08-01,Terrain leveling,Building,m3,1716.236119111516
2025-12-07,Walling,Building,m2,1122.3696244844762
2025-02-17,Rolling/Tractor,Road,m2,1054.6478612472959
2025-03-07,Subbase application,Road,m2,164.30978757794202
2025-05-04,Foundation pouring,Building,m3,4448.43554017474
2025-06-02,Foundation pouring,Building,m3,1914.9717040430357
2025-10-13,Anchorage,Railway,m2,4337.932080754753
2025-04-27,Walling,Building,m2,3089.4141162108026
2025-07-09,Rolling/Tractor,Road,m2,2298.9083976635925
2025-04-09,Coat preparation,Road,L,1917.5100001741264
2025-06-24,Iron mining,Railway,m3,2319.3380826875878
2025-02-21,Pavement,Road,m2,2339.658982377209
2025-01-02,Laying steel rail,Railway,m,1790.9998618570467
2025-03-07,Foundation pouring,Building,m3,2483.6798389734836
2025-04-01,Cement making,Building,m3,3599.863821359151
2025-05-04,Iron mining,Railway,m3,4543.405585234097
2025-10-02,Iron mining,Railway,m3,3814.8618397306923
2025-09-05,Iron mining,Railway,m3,4158.909662799956
2025-07-18,Rolling/Tractor,Road,m2,1095.3844531997308
2025-05-18,Pavement,Road,m2,1717.2308838875845
2025-03-10,Foundation pouring,Building,m3,4056.7990340084125
2025-09-22,Subbase application,Road,m2,4698.80070698742
2025-08-27,Pavement,Road,m2,3115.519955135557
2025-05-31,Rolling/Tractor,Road,m2,2633.226378329781
2025-09-08,Walling,Building,m2,367.5735569792499
2025-09-28,Iron mining,Railway,m3,3290.2499591102664
2025-10-29,Pavement,Road,m2,2595.9842930239643
2025-04-04,Foundation pouring,Building,m3,1106.0666703667155
2025-03-16,Anchorage,Railway,m2,3733.33384046639
2025-10-14,Ballast,Railway,m3,267.09706325414527
2025-03-11,Ballast,Railway,m3,2879.0391724241804
2025-04-26,Cement making,Building,m3,3374.987803270272
2025-02-20,Laying steel rail,Railway,m,1060.683897353611
2025-08-23,Walling,Building,m2,777.1721597205473
2025-06-15,Rolling/Tractor,Road,m2,4281.400991577652
2025-02-20,Subbase application,Road,m2,842.7323914240636
2025-06-25,Coat preparation,Road,L,4379.013595161756
2025-01-20,Pavement,Road,m2,1116.4130333238793
2025-02-04,Pavement,Road,m2,3877.4278187543737
2025-10-02,Walling,Building,m2,2114.1764251674117
2025-01-01,Cement making,Building,m3,2298.5591420167016
2025-03-07,Coat preparation,Road,L,2798.259600894779
2025-11-30,Foundation pouring,Building,m3,1457.638147133729
2025-08-07,Iron mining,Railway,m3,4551.773797620668
2025-04-11,Rolling/Tractor,Road,m2,641.7663378086386
2025-01-12,Ballast,Railway,m3,1872.8188695627496
2025-03-04,Anchorage,Railway,m2,2498.59065158269
2025-04-06,Walling,Building,m2,433.11252543215215
2025-11-13,Rolling/Tractor,Road,m2,88.3801558528291
2025-03-09,Laying steel rail,Railway,m,4550.338421475429
2025-12-09,Anchorage,Railway,m2,4199.8812028386465
2025-11-12,Cement making,Building,m3,1257.7950169681158
2025-03-24,Ballast,Railway,m3,4441.285500627637
2025-09-30,Cement making,Building,m3,4817.309621137121
2025-04-09,Anchorage,Railway,m2,3207.4883465709286
2025-05-18,Foundation pouring,Building,m3,806.5162941256382
2025-10-11,Iron mining,Railway,m3,3730.475982221273
2025-02-19,Coat preparation,Road,L,461.0657482807284
2025-06-28,Iron mining,Railway,m3,3549.926468484818
2025-05-30,Anchorage,Railway,m2,3204.629526519984
2025-08-28,Iron mining,Railway,m3,1826.629736423841
2025-09-09,Laying steel rail,Railway,m,740.0254625920194
2025-05-14,Walling,Building,m2,564.6421736729973
2025-10-08,Iron mining,Railway,m3,1485.6508837604654
2025-07-16,Walling,Building,m2,3533.620497206144
2025-10-23,Iron mining,Railway,m3,1851.7743509259037
2025-02-22,Coat preparation,Road,L,1186.815051893149
2025-01-19,Ballast,Railway,m3,4987.0721838987265
2025-08-15,Removing trees,Building,m2,1270.8966402816552
2025-07-19,Rolling/Tractor,Road,m2,359.9629348109429
2025-02-12,Removing trees,Building,m2,2911.2024821297723
2025-03-12,Iron mining,Railway,m3,341.51035365021454
2025-04-25,Rolling/Tractor,Road,m2,1442.0110022924644
2025-04-27,Removing trees,Building,m2,4843.54250762824
2025-05-08,Walling,Building,m2,3019.8916265735534
2025-01-21,Pavement,Road,m2,850.640878709969
2025-12-28,Removing trees,Building,m2,414.6860493699528
2025-08-01,Pavement,Road,m2,2228.1453276895413
2025-01-01,Pavement,Road,m2,1294.8021969517392
2025-06-03,Cement making,Building,m3,2647.5223406711884
2025-05-24,Pavement,Road,m2,4710.64869610618
2025-11-13,Rolling/Tractor,Road,m2,2549.457618664907
