Date,Activity,Activity type,Unit,Amount executed
2025-03-20,Pavement,Road,m2,4793.117548602914
2025-11-24,Iron mining,Railway,m3,4585.731898571112
2025-07-27,Removing trees,Building,m2,761.0832054873379
2025-07-23,Walling,Building,m2,2648.124184946489
2025-07-05,Walling,Building,m2,9.416291307649537
2025-02-23,Terrain leveling,Building,m3,1329.1939107335738
2025-01-14,Walling,Building,m2,991.7067779297389
2025-10-17,Walling,Building,m2,3823.4366914872485
2025-05-03,Iron mining,Railway,m3,434.0807196222857
2025-07-27,Pavement,Road,m2,3928.734184250734
2025-10-18,Removing trees,Building,m2,4597.175919898163
2025-10-10,Terrain leveling,Building,m3,1540.6311099088382
2025-01-02,Terrain leveling,Building,m3,656.1635905199387
2025-06-12,Terrain leveling,Building,m3,3155.407245972353
2025-03-09,Walling,Building,m2,3735.9135606692607
2025-02-18,Removing trees,Building,m2,1832.7029716583415
2025-02-08,Foundation pouring,Building,m3,972.8490530161638
2025-08-22,Coat preparation,Road,L,4328.896211069585
2025-02-04,Rolling/Tractor,Road,m2,2441.0109198477085
2025-09-05,Pavement,Road,m2,4827.158658653927
2025-05-16,Walling,Building,m2,4940.837809203379
2025-05-09,Cement making,Building,m3,4414.787417748863
2025-07-25,Coat preparation,Road,L,1615.5100566480307
2025-06-10,Laying steel rail,Railway,m,1420.576339748888
2025-07-30,Laying steel rail,Railway,m,538.6337686886305
2025-04-03,Terrain leveling,Building,m3,3074.04890557114
2025-01-18,Coat preparation,Road,L,1762.6577928098448
2025-08-05,Terrain leveling,Building,m3,3005.6358895724634
2025-10-24,Laying steel rail,Railway,m,4580.693644244948
2025-07-14,Cement making,Building,m3,3615.4855782804084
2025-03-05,Removing trees,Building,m2,2733.204540620539
2025-12-24,Removing trees,Building,m2,2713.5992649767077
2025-10-16,Subbase application,Road,m2,2080.0633832146214
2025-12-13,Pavement,Road,m2,412.30043195528475
2025-08-29,Anchorage,Railway,m2,499.36088038507074
2025-11-10,Terrain leveling,Building,m3,1542.4491143749458
2025-05-14,Subbase application,Road,m2,2905.5410052918583
2025-01-04,Rolling/Tractor,Road,m2,4797.987606149692
2025-04-13,Coat preparation,Road,L,2786.314926976433
2025-09-30,Iron mining,Railway,m3,4991.8734275887255
2025-10-24,Pavement,Road,m2,2322.5685113095424
2025-07-11,Cement making,Building,m3,1754.638451981258
2025-07-18,Anchorage,Railway,m2,3307.2505050029745
2025-08-31,Iron mining,Railway,m3,421.0052069456488
2025-10-28,Cement making,Building,m3,4843.969094298339
2025-05-06,Laying steel rail,Railway,m,4848.3421507558705
2025-01-31,Anchorage,Railway,m2,3356.5970691976077
2025-08-08,Cement making,Building,m3,2283.308049316867
2025-06-09,Laying steel rail,Railway,m,2247.31230756184
2025-05-21,Iron mining,Railway,m3,1851.712875090224
2025-03-31,Pavement,Road,m2,4618.7803808406115
2025-01-22,Pavement,Road,m2,1675.2204609363464
2025-07-09,Foundation pouring,Building,m3,1640.100258628046
2025-03-30,Walling,Building,m2,3322.6792653609623
2025-10-24,Walling,Building,m2,3246.032503708989
2025-05-08,Coat preparation,Road,L,3261.1526066790075
2025-09-03,Walling,Building,m2,3072.1354902227754
2025-06-22,Ballast,Railway,m3,1081.5207530187072
2025-02-27,Laying steel rail,Railway,m,2548.8581064980085
2025-11-27,Rolling/Tractor,Road,m2,1607.151737644435
2025-08-20,Removing trees,Building,m2,3406.3428668428223
2025-01-18,Walling,Building,m2,3044.740174728939
2025-05-31,Anchorage,Railway,m2,26.544407622591248
2025-01-27,Coat preparation,Road,L,269.0319445815559
2025-06-24,Walling,Building,m2,3964.98341735797
2025-11-08,Removing trees,Building,m2,234.71007441738746
2025-10-11,Pavement,Road,m2,3942.6388593480833
2025-10-11,Foundation pouring,Building,m3,637.9895700730004
2025-03-18,Foundation pouring,Building,m3,3867.610761301394
2025-01-05,Rolling/Tractor,Road,m2,988.1353892201012
2025-01-28,Subbase application,Road,m2,221.61085652408207
2025-05-14,Coat preparation,Road,L,3547.701826306713
2025-04-16,Foundation pouring,Building,m3,3970.2856845239908
2025-06-01,Pavement,Road,m2,1434.2225118716779
2025-03-22,Rolling/Tractor,Road,m2,2107.9497478957182
2025-12-24,Terrain leveling,Building,m3,4991.632162638765
2025-12-27,Terrain leveling,Building,m3,2902.4790954922523
2025-05-20,Pavement,Road,m2,205.05130155615726
2025-04-16,Cement making,Building,m3,2787.742922455627
2025-05-05,Iron mining,Railway,m3,2987.745358779691
2025-05-11,Pavement,Road,m2,1878.7553789984267
2025-05-20,Anchorage,Railway,m2,4075.9927336553433
2025-03-20,Cement making,Building,m3,25.31497931619553
2025-04-25,Coat preparation,Road,L,660.0576799983716
2025-10-04,Ballast,Railway,m3,3736.7451905585062
2025-07-27,Laying steel rail,Railway,m,4813.122291854064
2025-03-10,Anchorage,Railway,m2,1813.798672648112
2025-07-03,Foundation pouring,Building,m3,982.4276213937688
2025-12-27,Pavement,Road,m2,4021.078124450587
2025-07-27,Pavement,Road,m2,927.4239973374465
2025-02-04,Rolling/Tractor,Road,m2,3078.5492612548187
2025-03-05,Pavement,Road,m2,1349.7165584266768
2025-11-02,Pavement,Road,m2,2894.862170029286
2025-01-07,Subbase application,Road,m2,1302.189259455031
2025-04-27,Subbase application,Road,m2,606.0985602468477
2025-11-25,Removing trees,Building,m2,1204.9280059658956
2025-02-05,Iron mining,Railway,m3,1215.9585353690134
2025-07-22,Coat preparation,Road,L,770.3583453790558
2025-06-05,Terrain leveling,Building,m3,1598.8893342876104
2025-02-21,Cement making,Building,m3,3358.1582157323614
2025-10-30,Rolling/Tractor,Road,m2,2264.7161306309526
2025-07-15,Foundation pouring,Building,m3,672.6611228589962
2025-02-24,Cement making,Building,m3,577.3147204470713
2025-02-28,Iron mining,Railway,m3,4384.168229400073
2025-09-11,Terrain leveling,Building,m3,2352.9939543626206
2025-03-17,Rolling/Tractor,Road,m2,225.25951796515676
2025-04-17,Cement making,Building,m3,4765.631538412651
2025-03-07,Ballast,Railway,m3,1580.1152715019368
2025-11-23,Walling,Building,m2,3881.2127828004495
2025-03-17,Anchorage,Railway,m2,2167.19957299163
2025-12-03,Walling,Building,m2,4607.099551524642
2025-03-28,Iron mining,Railway,m3,3403.455861907349
2025-04-26,Ballast,Railway,m3,3340.8426818697253
2025-03-30,Foundation pouring,Building,m3,3643.329473658512
2025-06-07,Cement making,Building,m3,3656.244304143569
2025-01-02,Laying steel rail,Railway,m,2092.2611810264875
2025-01-17,Foundation pouring,Building,m3,4284.145399108234
2025-02-03,Iron mining,Railway,m3,607.4455210122243
2025-09-09,Subbase application,Road,m2,792.424119774392
2025-02-02,Terrain leveling,Building,m3,1296.1613696125623
2025-05-25,Pavement,Road,m2,1401.157353702735
2025-10-12,Rolling/Tractor,Road,m2,1203.2739881648047
2025-09-07,Foundation pouring,Building,m3,2488.9252224611773
2025-05-09,Pavement,Road,m2,3015.8610791938518
2025-03-30,Coat preparation,Road,L,1555.809966960227
2025-05-22,Foundation pouring,Building,m3,597.5051044508367
2025-08-10,Coat preparation,Road,L,3755.595604890519
2025-07-23,Removing trees,Building,m2,1962.6474340624816
2025-02-13,Ballast,Railway,m3,938.7504151924326
2025-01-13,Anchorage,Railway,m2,1599.4393766357966
2025-06-22,Iron mining,Railway,m3,3350.5693862735106
2025-02-27,Iron mining,Railway,m3,1606.5345316683165
2025-05-25,Rolling/Tractor,Road,m2,4393.83867598106
2025-10-11,Coat preparation,Road,L,2105.9156672868935
2025-11-04,Anchorage,Railway,m2,1927.920115223471
2025-02-16,Iron mining,Railway,m3,4682.669627799664
2025-04-27,Pavement,Road,m2,3468.4617885660973
2025-07-30,Cement making,Building,m3,1958.0362940875789
2025-04-17,Iron mining,Railway,m3,953.121079078934
2025-11-04,Pavement,Road,m2,1770.348462271497
2025-06-02,Foundation pouring,Building,m3,3824.7189402996573
2025-01-28,Cement making,Building,m3,3187.8084229176357
2025-09-09,Coat preparation,Road,L,476.98303242702525
2025-05-27,Coat preparation,Road,L,4747.466798734745
2025-05-17,Rolling/Tractor,Road,m2,329.1968371633802
2025-12-05,Foundation pouring,Building,m3,3868.172249578706
2025-05-22,Laying steel rail,Railway,m,211.2730820438813
2025-04-21,Subbase application,Road,m2,2455.460183232274
2025-12-15,Pavement,Road,m2,4413.467260747196
2025-06-01,Laying steel rail,Railway,m,1858.9886254105493
2025-09-15,Subbase application,Road,m2,795.5125071248569
2025-06-18,Laying steel rail,Railway,m,3785.760801275026
2025-03-21,Iron mining,Railway,m3,3165.6033447667633
2025-04-22,Laying steel rail,Railway,m,664.4082299317616
2025-02-25,Ballast,Railway,m3,684.4873515705541
2025-03-13,Coat preparation,Road,L,3618.5279404027037
2025-07-26,Foundation pouring,Building,m3,3074.9263565342694
2025-08-26,Anchorage,Railway,m2,383.6499207352467
2025-12-29,Anchorage,Railway,m2,3719.796663235489
2025-06-12,Removing trees,Building,m2,4607.882697596285
2025-11-23,Walling,Building,m2,3407.8561724440683
2025-10-07,Pavement,Road,m2,2347.561478425061
2025-11-06,Ballast,Railway,m3,3176.301003289983
2025-09-11,Iron mining,Railway,m3,2715.107894279379
2025-04-21,Rolling/Tractor,Road,m2,4842.155355705044
2025-08-19,Rolling/Tractor,Road,m2,1487.4443366683076
2025-12-08,Ballast,Railway,m3,4895.622852046809
2025-12-13,Foundation pouring,Building,m3,1642.2459238324266
2025-04-25,Iron mining,Railway,m3,3230.0194660198435
2025-03-22,Foundation pouring,Building,m3,780.4703830315967
2025-10-10,Anchorage,Railway,m2,33.89072125644432
2025-10-29,Pavement,Road,m2,913.2581154239127
2025-01-29,Pavement,Road,m2,1197.3803190952408
2025-07-15,Ballast,Railway,m3,2257.6227576742926
2025-01-02,Rolling/Tractor,Road,m2,1959.7073157577943
2025-03-15,Cement making,Building,m3,4288.383879846042
2025-01-15,Walling,Building,m2,1717.4533256866403
2025-11-15,Iron mining,Railway,m3,4045.4426628151637
2025-12-02,Subbase application,Road,m2,1940.8603850954053
2025-12-04,Coat preparation,Road,L,4479.564529061413
2025-03-30,Removing trees,Building,m2,2820.974551815598
2025-07-05,Coat preparation,Road,L,2741.9690198370604
2025-06-08,Iron mining,Railway,m3,4454.584830924408
2025-01-01,Subbase application,Road,m2,1760.7719530667437
2025-05-22,Walling,Building,m2,1223.735071643337
2025-03-17,Iron mining,Railway,m3,100.10366387752434
2025-09-13,Removing trees,Building,m2,246.2241025584133
2025-12-27,Subbase application,Road,m2,3036.812851970586
2025-04-01,Terrain leveling,Building,m3,4863.937951391511
2025-03-04,Terrain leveling,Building,m3,2508.2431054439817
2025-12-11,Anchorage,Railway,m2,3644.925983722168
2025-12-12,Removing trees,Building,m2,4247.650950772606
2025-02-18,Terrain leveling,Building,m3,147.56324661732268
2025-06-23,Laying steel rail,Railway,m,1118.3640535685174
2025-06-12,Walling,Building,m2,122.55044606547693
2025-11-13,Laying steel rail,Railway,m,2642.51955654629
2025-04-26,Anchorage,Railway,m2,4099.343319211487
2025-10-28,Rolling/Tractor,Road,m2,4675.853629317817
2025-09-23,Iron mining,Railway,m3,653.2517592210573
2025-06-21,Subbase application,Road,m2,1459.072361083527
2025-07-01,Walling,Building,m2,4610.113632340923
2025-05-14,Ballast,Railway,m3,1153.2272633787416
2025-08-01,Anchorage,Railway,m2,1096.2398199180423
2025-08-07,Anchorage,Railway,m2,2887.545420860435
2025-06-27,Foundation pouring,Building,m3,3558.218549138976
2025-05-28,Subbase application,Road,m2,3181.478039478191
2025-05-19,Removing trees,Building,m2,2583.0138788962226
2025-07-10,Ballast,Railway,m3,888.3837208934231
2025-05-17,Rolling/Tractor,Road,m2,2763.315160068567
2025-04-27,Rolling/Tractor,Road,m2,1008.1522811893257
2025-10-07,Rolling/Tractor,Road,m2,2742.899527417314
2025-04-27,Ballast,Railway,m3,3464.0071955465564
2025-07-15,Rolling/Tractor,Road,m2,1505.3338492860114
2025-06-13,Removing trees,Building,m2,290.349420375855
2025-08-05,Anchorage,Railway,m2,2547.009711753384
2025-03-04,Removing trees,Building,m2,4361.372238583006
2025-11-09,Ballast,Railway,m3,1709.5154764928056
2025-07-31,Walling,Building,m2,453.69352165582967
2025-05-30,Anchorage,Railway,m2,4590.790289963258
2025-07-17,Ballast,Railway,m3,1901.7080778604234
2025-07-04,Laying steel rail,Railway,m,2860.362724538718
2025-09-25,Laying steel rail,Railway,m,2614.9282095229155
2025-09-10,Cement making,Building,m3,769.099559993044
2025-05-04,Rolling/Tractor,Road,m2,2697.28595556843
2025-07-29,Foundation pouring,Building,m3,3263.003933386985
2025-01-26,Terrain leveling,Building,m3,4176.134977275611
2025-04-18,Ballast,Railway,m3,525.3080795638975
2025-10-20,Laying steel rail,Railway,m,422.3044236400608
2025-12-08,Removing trees,Building,m2,2419.8844974757094
2025-04-17,Coat preparation,Road,L,152.67887060224473
2025-05-09,Cement making,Building,m3,177.19741701949565
2025-05-16,Ballast,Railway,m3,4555.951302332709
2025-05-15,Walling,Building,m2,1033.8618740913857
2025-07-29,Foundation pouring,Building,m3,4094.8376594537867
2025-04-17,Laying steel rail,Railway,m,4237.47386199023
2025-11-12,Pavement,Road,m2,1110.4287542181996
2025-01-19,Removing trees,Building,m2,485.6986971442434
2025-11-27,Rolling/Tractor,Road,m2,4104.667933981202
2025-02-02,Ballast,Railway,m3,1155.5010988206689
2025-04-17,Subbase application,Road,m2,1795.2054761784382
2025-04-29,Foundation pouring,Building,m3,2564.6075008828902
2025-11-26,Pavement,Road,m2,1935.0193575093715
2025-05-13,Ballast,Railway,m3,3509.397831468302
2025-01-24,Laying steel rail,Railway,m,4850.9858557111775
2025-05-14,Foundation pouring,Building,m3,2754.9187580590524
2025-06-07,Iron mining,Railway,m3,486.70437903542364
2025-05-21,Removing trees,Building,m2,1373.932362237078
2025-11-16,Cement making,Building,m3,4912.862235578383
2025-04-03,Subbase application,Road,m2,1500.1056061269285
2025-12-17,Iron mining,Railway,m3,2192.685091637373
2025-04-23,Iron mining,Railway,m3,2379.68741863541
2025-06-06,Terrain leveling,Building,m3,731.8435551063379
2025-08-23,Ballast,Railway,m3,2577.3141295429105
2025-05-23,Anchorage,Railway,m2,2794.7405200942903
2025-07-04,Rolling/Tractor,Road,m2,2862.7556306078295
2025-11-23,Rolling/Tractor,Road,m2,3397.4307677082697
2025-01-07,Pavement,Road,m2,1021.2100845511169
2025-11-21,Pavement,Road,m2,1878.4273995271283
2025-12-25,Foundation pouring,Building,m3,1481.7679250790334
2025-09-17,Foundation pouring,Building,m3,3861.1338157319415
2025-01-16,Laying steel rail,Railway,m,4935.370361189316
2025-10-21,Terrain leveling,Building,m3,3236.251129411247
2025-05-14,Laying steel rail,Railway,m,4750.342624803577
2025-03-02,Pavement,Road,m2,2061.804994692565
2025-05-23,Walling,Building,m2,1022.6076096412784
2025-10-12,Foundation pouring,Building,m3,4676.814497376539
2025-12-21,Rolling/Tractor,Road,m2,3098.084954426765
2025-06-11,Iron mining,Railway,m3,798.3854757613301
2025-11-12,Terrain leveling,Building,m3,2752.534290162511
2025-03-08,Removing trees,Building,m2,3289.310933374434
2025-01-11,Foundation pouring,Building,m3,1332.054239596312
2025-04-05,Cement making,Building,m3,684.1436829526981
2025-04-27,Coat preparation,Road,L,2765.3325149147345
2025-07-20,Subbase application,Road,m2,3408.086460830873
2025-11-16,Iron mining,Railway,m3,3723.156189454242
2025-07-29,Pavement,Road,m2,3048.705725198571
2025-05-28,Pavement,Road,m2,2385.114678426157
2025-01-15,Terrain leveling,Building,m3,601.0882526137418
2025-09-06,Rolling/Tractor,Road,m2,1388.2053615010454
2025-01-16,Rolling/Tractor,Road,m2,530.1583859124165
2025-10-04,Walling,Building,m2,984.4198102083445
2025-01-03,Cement making,Building,m3,928.8766097690166
2025-10-01,Walling,Building,m2,3178.4427655135355
2025-06-23,Iron mining,Railway,m3,319.22967059345444
2025-08-14,Laying steel rail,Railway,m,1403.3065059500966
2025-07-08,Ballast,Railway,m3,487.4738418855279
2025-03-15,Pavement,Road,m2,919.0838562805542
2025-05-02,Laying steel rail,Railway,m,2581.029174667784
2025-06-27,Terrain leveling,Building,m3,4682.167752093588
2025-03-14,Coat preparation,Road,L,858.6773111432705
2025-05-08,Laying steel rail,Railway,m,572.0076034844645
2025-03-14,Coat preparation,Road,L,1487.0571318427478
2025-09-22,Subbase application,Road,m2,3016.8065485245897
2025-11-14,Foundation pouring,Building,m3,1545.5644512775568
2025-07-30,Cement making,Building,m3,2714.99147115792
2025-05-22,Removing trees,Building,m2,3541.1669377629496
2025-07-12,Anchorage,Railway,m2,4087.474700634891
2025-07-27,Terrain leveling,Building,m3,768.7702522691076
2025-03-04,Ballast,Railway,m3,3645.9306917809968
2025-05-11,Removing trees,Building,m2,2477.8944929565528
2025-12-11,Subbase application,Road,m2,2750.491389210791
2025-12-02,Pavement,Road,m2,1140.7181157057532
2025-11-12,Removing trees,Building,m2,2429.2748624428855
2025-01-02,Cement making,Building,m3,1950.0400812637374
2025-02-10,Iron mining,Railway,m3,2511.7238050189594
2025-07-09,Foundation pouring,Building,m3,1720.3373812858413
2025-07-09,Coat preparation,Road,L,4304.4487178680965
2025-01-14,Terrain leveling,Building,m3,1504.6211609286015
2025-12-19,Cement making,Building,m3,4225.623890182032
2025-09-22,Pavement,Road,m2,2779.901551062079
2025-06-28,Subbase application,Road,m2,2072.3169150554577
2025-06-07,Iron mining,Railway,m3,2972.284894557906
2025-04-22,Foundation pouring,Building,m3,3081.680213018425
2025-05-15,Coat preparation,Road,L,4288.474020047836
2025-01-09,Ballast,Railway,m3,4365.789448603105
2025-07-06,Ballast,Railway,m3,3364.9992369002966
2025-11-07,Ballast,Railway,m3,2152.059236731765
2025-02-16,Anchorage,Railway,m2,3633.0478933309296
2025-11-26,Ballast,Railway,m3,3094.45526080117
2025-06-05,Walling,Building,m2,1690.31894044317
2025-09-24,Terrain leveling,Building,m3,1579.871925378864
2025-11-12,Cement making,Building,m3,2458.8207559491498
2025-05-12,Laying steel rail,Railway,m,1830.667924580897
2025-10-21,Iron mining,Railway,m3,747.7444263883199
2025-06-16,Walling,Building,m2,1886.9178095485495
2025-11-07,Removing trees,Building,m2,1714.1429611120873
2025-02-11,Anchorage,Railway,m2,2475.79931672143
2025-01-26,Foundation pouring,Building,m3,973.6750585511905
2025-01-08,Terrain leveling,Building,m3,2872.922007577643
2025-09-23,Walling,Building,m2,3033.534090572206
2025-02-16,Ballast,Railway,m3,4210.414458014971
2025-03-27,Pavement,Road,m2,1746.1780966172037
2025-08-22,Coat preparation,Road,L,1165.1938736184431
2025-05-10,Ballast,Railway,m3,3483.7597307308415
2025-06-14,Subbase application,Road,m2,1490.9109249811208
2025-03-23,Rolling/Tractor,Road,m2,1249.2757504505487
2025-11-14,Walling,Building,m2,4658.3015291572065
2025-10-20,Foundation pouring,Building,m3,4433.314426067253
2025-01-29,Iron mining,Railway,m3,1707.7025796678913
2025-07-19,Terrain leveling,Building,m3,4028.6783959679947
2025-10-07,Coat preparation,Road,L,857.7695377764616
2025-08-09,Removing trees,Building,m2,3884.759018108793
2025-08-22,Terrain leveling,Building,m3,3066.321741009122
2025-10-03,Foundation pouring,Building,m3,746.8657962472458
2025-12-13,Rolling/Tractor,Road,m2,3509.9711293457785
2025-11-25,Cement making,Building,m3,32.208945714518045
2025-03-13,Anchorage,Railway,m2,4292.845918534853
2025-05-10,Anchorage,Railway,m2,2365.1497102850467
2025-04-16,Coat preparation,Road,L,2862.3017439216865
2025-06-15,Pavement,Road,m2,2072.8755722882224
2025-01-29,Subbase application,Road,m2,4898.851967066185
2025-12-01,Walling,Building,m2,1043.8227592670346
2025-12-07,Terrain leveling,Building,m3,4453.381361479057
2025-05-23,Subbase application,Road,m2,2411.9106145319024
2025-04-26,Removing trees,Building,m2,2968.6323460583335
2025-10-25,Ballast,Railway,m3,2458.7283337991694
2025-06-08,Subbase application,Road,m2,4482.452224205408
2025-05-05,Anchorage,Railway,m2,2353.9082825886935
2025-10-01,Cement making,Building,m3,1752.70242311584
2025-06-07,Subbase application,Road,m2,3983.562893361981
2025-05-31,Pavement,Road,m2,1550.2983365784546
2025-01-10,Foundation pouring,Building,m3,1172.2693290111313
2025-04-09,Iron mining,Railway,m3,1766.6648528653106
2025-11-21,Rolling/Tractor,Road,m2,281.9444117201353
2025-04-26,Coat preparation,Road,L,4900.927849930755
2025-06-03,Iron mining,Railway,m3,1089.2328474719964
2025-06-01,Cement making,Building,m3,1603.286005035966
2025-03-30,Laying steel rail,Railway,m,2291.76371130041
2025-07-13,Terrain leveling,Building,m3,3223.9266439917237
2025-09-13,Removing trees,Building,m2,3184.735585028422
2025-09-18,Coat preparation,Road,L,3268.1777505753385
2025-08-04,Foundation pouring,Building,m3,2366.557324451604
2025-11-23,Terrain leveling,Building,m3,601.8009006912789
2025-06-02,Subbase application,Road,m2,1581.3558678644308
2025-10-04,Foundation pouring,Building,m3,1545.7702612764112
2025-01-02,Anchorage,Railway,m2,2464.617860309094
2025-07-20,Walling,Building,m2,2304.7943930708757
2025-01-22,Walling,Building,m2,425.4554124745008
2025-03-28,Rolling/Tractor,Road,m2,1692.2958412787248
2025-01-20,Foundation pouring,Building,m3,3746.285576309872
2025-09-14,Cement making,Building,m3,2847.5779068327247
2025-10-04,Iron mining,Railway,m3,201.22994235833247
2025-10-04,Walling,Building,m2,636.2966537125347
2025-09-01,Anchorage,Railway,m2,4753.3413886190865
2025-09-03,Ballast,Railway,m3,2027.8729125867806
2025-02-02,Subbase application,Road,m2,1774.7343006939236
2025-04-08,Coat preparation,Road,L,3844.70689811953
2025-04-28,Coat preparation,Road,L,1501.646756824646
2025-03-22,Anchorage,Railway,m2,1566.486332995148
2025-10-21,Foundation pouring,Building,m3,3269.046678132174
2025-07-04,Pavement,Road,m2,3083.847675006508
2025-11-10,Foundation pouring,Building,m3,1319.1526509588846
2025-11-01,Ballast,Railway,m3,461.39688317792417
2025-03-30,Subbase application,Road,m2,1419.5898691069115
2025-12-11,Laying steel rail,Railway,m,4469.71536035296
2025-03-24,Ballast,Railway,m3,3106.129419814237
2025-04-21,Laying steel rail,Railway,m,1255.446302956399
2025-03-24,Anchorage,Railway,m2,450.22842435693764
2025-02-05,Cement making,Building,m3,1460.7293626301266
2025-10-20,Rolling/Tractor,Road,m2,4882.940354739263
2025-05-17,Removing trees,Building,m2,2097.855688646284
2025-09-02,Foundation pouring,Building,m3,2746.111789414619
2025-01-12,Cement making,Building,m3,3798.6463569660723
2025-09-08,Iron mining,Railway,m3,22.913677659159305
2025-02-05,Pavement,Road,m2,754.1977883741058
2025-10-27,Walling,Building,m2,1678.3359026984285
2025-06-12,Walling,Building,m2,849.6384074570946
2025-01-01,Pavement,Road,m2,1443.8414279689093
2025-08-26,Rolling/Tractor,Road,m2,1587.6232887668123
2025-07-13,Subbase application,Road,m2,2858.347037380408
2025-05-18,Pavement,Road,m2,1337.5674779436242
2025-05-14,Removing trees,Building,m2,3251.3598600220294
2025-04-12,Pavement,Road,m2,4996.051020440737
2025-05-31,Cement making,Building,m3,866.6114613490239
2025-02-11,Iron mining,Railway,m3,1095.2824029069197
2025-01-17,Pavement,Road,m2,1890.9456087703802
2025-02-22,Subbase application,Road,m2,845.6966171125213
2025-08-01,Iron mining,Railway,m3,4110.430507957075
2025-09-02,Subbase application,Road,m2,1187.2999032124915
2025-07-03,Walling,Building,m2,3772.4840833474277
2025-08-08,Anchorage,Railway,m2,3090.7295412204962
2025-06-21,Anchorage,Railway,m2,919.8759095094911
2025-06-10,Coat preparation,Road,L,578.5223207896695
2025-02-10,Removing trees,Building,m2,3582.346804236163
2025-07-19,Pavement,Road,m2,2012.0100673319935
2025-06-26,Removing trees,Building,m2,288.6783639474405
2025-05-31,Iron mining,Railway,m3,438.68418493100745
2025-04-24,Ballast,Railway,m3,2092.6394470902446
2025-01-28,Anchorage,Railway,m2,3344.773914452943
2025-09-21,Removing trees,Building,m2,808.4984724898675
2025-08-28,Coat preparation,Road,L,1181.0052755459944
2025-01-24,Subbase application,Road,m2,4215.758528276278
2025-11-15,Foundation pouring,Building,m3,4995.795736105172
2025-06-10,Iron mining,Railway,m3,1330.3639657037347
2025-04-30,Rolling/Tractor,Road,m2,3436.0725539269774
2025-04-29,Walling,Building,m2,2334.6217402591
2025-03-29,Laying steel rail,Railway,m,2074.97547533919
2025-11-20,Foundation pouring,Building,m3,1716.1581596261449
2025-09-30,Pavement,Road,m2,358.2569238019773
2025-04-15,Laying steel rail,Railway,m,1564.9140249907766
2025-08-26,Anchorage,Railway,m2,4584.457992042642
2025-03-16,Ballast,Railway,m3,1715.8943853525461
2025-09-12,Terrain leveling,Building,m3,952.0136792500666
2025-07-12,Ballast,Railway,m3,2575.4173683949643
2025-05-24,Subbase application,Road,m2,4320.308325360093
2025-03-13,Cement making,Building,m3,523.1155263882165
2025-02-28,Pavement,Road,m2,2489.202343244192
2025-07-28,Removing trees,Building,m2,3905.9681264482165
2025-08-18,Iron mining,Railway,m3,3347.4302133620085
2025-07-19,Laying steel rail,Railway,m,3921.1066452456016
2025-04-28,Rolling/Tractor,Road,m2,4566.1014908719935
2025-03-17,Iron mining,Railway,m3,4379.814358975425
2025-09-23,Cement making,Building,m3,807.8288398835648
2025-06-09,Anchorage,Railway,m2,136.71286210551193
2025-09-30,Terrain leveling,Building,m3,2920.083582894526
2025-10-02,Foundation pouring,Building,m3,2208.1205200809227
2025-09-10,Removing trees,Building,m2,2815.4840889988304
2025-09-11,Iron mining,Railway,m3,4566.40261544572
2025-01-22,Laying steel rail,Railway,m,2790.953733729917
2025-10-12,Laying steel rail,Railway,m,729.0930005247487
